"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2017","12,225.06","12,368.82","12,375.58","12,119.04","444.10M","-0.71%"
"26/03/2017","12,312.87","11,957.65","12,313.29","11,916.07","490.74M","2.06%"
"19/03/2017","12,064.27","12,050.81","12,111.24","11,850.27","538.69M","-0.26%"
"12/03/2017","12,095.24","11,954.80","12,156.44","11,930.38","607.19M","1.10%"
"05/03/2017","11,963.18","11,956.81","12,067.07","11,917.78","493.88M","-0.53%"
"26/02/2017","12,027.36","11,858.14","12,082.59","11,780.83","433.24M","1.89%"
"19/02/2017","11,804.03","11,831.71","12,031.11","11,722.35","402.61M","0.40%"
"12/02/2017","11,757.02","11,697.99","11,848.04","11,684.91","409.66M","0.77%"
"05/02/2017","11,666.97","11,628.03","11,711.55","11,479.78","455.07M","0.13%"
"29/01/2017","11,651.49","11,786.31","11,792.33","11,535.31","458.77M","-1.38%"
"22/01/2017","11,814.27","11,545.97","11,893.08","11,508.83","452.12M","1.58%"
"15/01/2017","11,630.13","11,537.45","11,644.88","11,425.14","439.28M","0.01%"
"08/01/2017","11,629.18","11,606.89","11,692.27","11,491.87","455.34M","0.26%"
"01/01/2017","11,599.01","11,426.38","11,637.37","11,414.82","371.19M","1.03%"
"25/12/2016","11,481.06","11,457.91","11,481.66","11,404.82","164.90M","0.27%"
"18/12/2016","11,449.93","11,384.03","11,480.18","11,380.12","332.46M","0.40%"
"11/12/2016","11,404.01","11,198.42","11,451.57","11,141.86","617.12M","1.79%"
"04/12/2016","11,203.63","10,494.64","11,231.69","10,493.62","685.68M","6.57%"
"27/11/2016","10,513.35","10,655.92","10,691.67","10,402.59","446.82M","-1.74%"
"20/11/2016","10,699.27","10,697.95","10,767.73","10,595.14","371.79M","0.33%"
"13/11/2016","10,664.56","10,750.62","10,802.39","10,604.32","545.78M","-0.03%"
"06/11/2016","10,667.95","10,410.56","10,793.97","10,174.92","661.49M","3.98%"
"30/10/2016","10,259.13","10,658.67","10,730.48","10,212.53","416.77M","-4.09%"
"23/10/2016","10,696.19","10,743.87","10,827.72","10,583.57","407.45M","-0.14%"
"16/10/2016","10,710.73","10,544.69","10,748.41","10,491.28","421.94M","1.23%"
"09/10/2016","10,580.38","10,496.01","10,692.36","10,349.06","490.08M","0.85%"
"02/10/2016","10,490.86","10,492.97","10,646.72","10,465.35","462.19M","-0.19%"
"25/09/2016","10,511.02","10,555.19","10,575.34","10,189.94","596.72M","-1.09%"
"18/09/2016","10,626.97","10,349.87","10,705.40","10,326.75","394.83M","3.41%"
"11/09/2016","10,276.17","10,380.46","10,507.04","10,262.19","654.54M","-2.81%"
"04/09/2016","10,573.44","10,712.17","10,780.42","10,539.31","400.78M","-1.03%"
"28/08/2016","10,683.82","10,503.88","10,693.64","10,441.81","375.26M","0.91%"
"21/08/2016","10,587.77","10,528.88","10,656.25","10,443.48","285.73M","0.41%"
"14/08/2016","10,544.36","10,719.14","10,802.32","10,490.96","306.18M","-1.58%"
"07/08/2016","10,713.43","10,407.50","10,742.84","10,403.47","383.60M","3.34%"
"31/07/2016","10,367.21","10,426.36","10,459.34","10,092.53","461.57M","0.29%"
"24/07/2016","10,337.50","10,155.20","10,381.90","10,125.22","413.82M","1.87%"
"17/07/2016","10,147.46","10,079.03","10,195.65","9,923.64","380.00M","0.80%"
"10/07/2016","10,066.90","9,744.80","10,109.86","9,690.18","469.16M","4.54%"
"03/07/2016","9,629.66","9,797.66","9,808.99","9,304.01","500.86M","-1.50%"
"26/06/2016","9,776.12","9,516.92","9,806.47","9,214.10","701.13M","2.29%"
"19/06/2016","9,557.16","9,850.59","10,340.84","9,226.15","693.28M","-0.77%"
"12/06/2016","9,631.36","9,715.78","9,755.23","9,432.87","547.89M","-2.07%"
"05/06/2016","9,834.62","10,105.09","10,312.53","9,819.12","426.93M","-2.66%"
"29/05/2016","10,103.26","10,293.43","10,365.24","10,040.87","355.52M","-1.78%"
"22/05/2016","10,286.31","9,891.38","10,298.76","9,773.80","398.93M","3.73%"
"15/05/2016","9,916.02","10,016.79","10,080.31","9,773.72","347.08M","-0.37%"
"08/05/2016","9,952.90","9,929.19","10,106.93","9,767.94","448.72M","0.84%"
"01/05/2016","9,869.95","10,091.17","10,153.90","9,737.00","455.63M","-1.68%"
"24/04/2016","10,038.97","10,379.16","10,399.30","10,038.97","459.67M","-3.22%"
"17/04/2016","10,373.49","9,933.70","10,474.38","9,920.90","449.29M","3.20%"
"10/04/2016","10,051.57","9,595.56","10,098.44","9,524.66","425.08M","4.46%"
"03/04/2016","9,622.26","9,789.77","9,907.05","9,484.75","421.32M","-1.76%"
"27/03/2016","9,794.64","9,900.88","10,097.70","9,675.50","339.22M","-0.58%"
"20/03/2016","9,851.35","9,893.26","10,112.17","9,762.57","317.24M","-1.00%"
"13/03/2016","9,950.80","9,948.21","10,055.29","9,753.04","586.84M","1.22%"
"06/03/2016","9,831.13","9,764.08","9,995.84","9,498.15","571.26M","0.07%"
"28/02/2016","9,824.17","9,424.93","9,899.11","9,332.42","478.48M","3.27%"
"21/02/2016","9,513.30","9,481.37","9,581.45","9,125.19","483.67M","1.33%"
"14/02/2016","9,388.05","9,163.54","9,551.87","9,079.19","595.45M","4.69%"
"07/02/2016","8,967.51","9,329.87","9,337.52","8,699.29","765.20M","-3.43%"
"31/01/2016","9,286.23","9,823.73","9,827.10","9,250.84","594.30M","-5.22%"
"24/01/2016","9,798.11","9,790.44","9,905.08","9,563.64","534.88M","0.34%"
"17/01/2016","9,764.88","9,542.60","9,837.62","9,314.57","607.56M","2.30%"
"10/01/2016","9,545.27","9,814.04","10,164.05","9,459.09","569.29M","-3.09%"
"03/01/2016","9,849.34","10,485.81","10,485.91","9,810.47","521.86M","-8.32%"
"27/12/2015","10,743.01","10,748.37","10,860.14","10,627.46","123.92M","0.14%"
"20/12/2015","10,727.64","10,607.20","10,796.03","10,400.61","212.57M","1.13%"
"13/12/2015","10,608.19","10,406.71","10,829.62","10,122.95","596.06M","2.59%"
"06/12/2015","10,340.06","10,832.42","10,992.55","10,294.25","437.15M","-3.83%"
"29/11/2015","10,752.10","11,268.31","11,430.87","10,632.77","566.39M","-4.80%"
"22/11/2015","11,293.76","11,105.92","11,366.37","10,869.20","388.20M","1.56%"
"15/11/2015","11,119.83","10,609.14","11,164.30","10,608.83","360.96M","3.84%"
"08/11/2015","10,708.40","10,993.24","10,995.48","10,607.46","420.80M","-2.54%"
"01/11/2015","10,988.03","10,749.98","11,055.45","10,744.37","466.82M","1.27%"
"25/10/2015","10,850.14","10,791.18","10,886.98","10,691.63","457.43M","0.52%"
"18/10/2015","10,794.54","10,084.61","10,847.47","10,080.19","440.64M","6.83%"
"11/10/2015","10,104.43","10,128.49","10,187.09","9,890.46","497.88M","0.08%"
"04/10/2015","10,096.60","9,691.65","10,146.88","9,647.17","548.00M","5.69%"
"27/09/2015","9,553.07","9,633.68","9,788.27","9,325.05","577.76M","-1.40%"
"20/09/2015","9,688.53","9,837.13","10,000.62","9,362.28","669.37M","-2.30%"
"13/09/2015","9,916.16","10,112.90","10,336.20","9,861.51","746.21M","-2.05%"
"06/09/2015","10,123.56","10,148.80","10,512.61","10,055.14","442.87M","0.85%"
"30/08/2015","10,038.04","10,200.98","10,380.36","9,928.65","546.02M","-2.53%"
"23/08/2015","10,298.53","9,805.72","10,382.95","9,338.20","833.65M","1.72%"
"16/08/2015","10,124.52","11,044.75","11,113.79","10,124.52","484.98M","-7.83%"
"09/08/2015","10,985.14","11,545.63","11,618.30","10,892.88","426.88M","-4.40%"
"02/08/2015","11,490.83","11,295.50","11,669.86","11,248.27","356.87M","1.61%"
"26/07/2015","11,308.99","11,287.77","11,313.27","11,052.86","418.67M","-0.34%"
"19/07/2015","11,347.45","11,679.47","11,802.37","11,334.77","331.96M","-2.79%"
"12/07/2015","11,673.42","11,489.17","11,787.58","11,414.39","382.81M","3.16%"
"05/07/2015","11,315.63","10,825.06","11,339.78","10,652.79","494.61M","2.33%"
"28/06/2015","11,058.39","11,404.71","11,409.81","10,897.97","535.33M","-3.78%"
"21/06/2015","11,492.43","11,138.71","11,635.85","11,138.55","473.31M","4.10%"
"14/06/2015","11,040.10","11,053.21","11,246.27","10,797.85","564.95M","-1.40%"
"07/06/2015","11,196.49","11,131.86","11,452.94","10,864.68","485.38M","-0.01%"
"31/05/2015","11,197.15","11,462.97","11,515.21","11,155.01","449.89M","-1.90%"
"24/05/2015","11,413.82","11,841.48","11,920.31","11,403.82","406.04M","-3.40%"
"17/05/2015","11,815.01","11,464.80","11,881.81","11,378.86","382.66M","3.21%"
"10/05/2015","11,447.03","11,674.52","11,702.13","11,218.54","456.68M","-2.24%"
"03/05/2015","11,709.73","11,506.84","11,751.22","11,167.55","534.05M","2.23%"
"26/04/2015","11,454.38","11,881.25","12,050.71","11,331.37","490.02M","-3.02%"
"19/04/2015","11,810.85","11,736.40","12,079.03","11,675.58","409.37M","1.05%"
"12/04/2015","11,688.70","12,357.27","12,388.13","11,674.59","440.87M","-5.54%"
"05/04/2015","12,374.73","12,057.34","12,390.75","12,017.80","304.29M","3.40%"
"29/03/2015","11,967.39","11,927.14","12,119.71","11,880.19","326.53M","0.83%"
"22/03/2015","11,868.33","11,984.79","12,030.59","11,619.72","485.72M","-1.42%"
"15/03/2015","12,039.37","11,955.82","12,219.05","11,787.30","622.71M","1.16%"
"08/03/2015","11,901.61","11,510.35","11,903.33","11,402.67","495.79M","3.04%"
"01/03/2015","11,550.97","11,408.28","11,600.37","11,193.30","411.22M","1.31%"
"22/02/2015","11,401.66","11,150.47","11,401.66","11,069.77","419.27M","3.18%"
"15/02/2015","11,050.64","10,946.88","11,081.81","10,765.02","434.37M","0.80%"
"08/02/2015","10,963.40","10,765.21","11,013.85","10,594.32","472.91M","1.08%"
"01/02/2015","10,846.39","10,719.18","10,984.69","10,677.39","499.86M","1.42%"
"25/01/2015","10,694.32","10,592.97","10,810.57","10,552.76","543.11M","0.42%"
"18/01/2015","10,649.58","10,231.58","10,704.32","10,149.77","624.97M","4.74%"
"11/01/2015","10,167.77","9,697.46","10,207.97","9,622.32","631.65M","5.38%"
"04/01/2015","9,648.50","9,735.65","9,860.18","9,382.82","507.12M","-1.19%"
"28/12/2014","9,764.73","9,914.87","9,927.85","9,687.26","149.58M","-1.59%"
"21/12/2014","9,922.11","9,827.26","9,924.01","9,826.55","109.34M","1.38%"
"14/12/2014","9,786.96","9,599.82","9,901.26","9,219.05","680.32M","2.00%"
"07/12/2014","9,594.73","10,060.91","10,084.95","9,586.22","461.03M","-4.88%"
"30/11/2014","10,087.12","9,915.74","10,093.03","9,835.42","480.48M","1.06%"
"23/11/2014","9,980.85","9,722.31","9,992.67","9,711.77","488.12M","2.55%"
"16/11/2014","9,732.55","9,162.27","9,736.14","9,161.60","467.90M","5.18%"
"09/11/2014","9,252.94","9,233.87","9,400.90","9,170.28","403.75M","-0.42%"
"02/11/2014","9,291.83","9,305.73","9,467.36","9,148.78","479.62M","-0.38%"
"26/10/2014","9,326.87","9,080.80","9,339.33","8,837.66","523.00M","3.77%"
"19/10/2014","8,987.80","8,819.26","9,068.12","8,644.71","526.55M","1.55%"
"12/10/2014","8,850.27","8,703.85","8,872.40","8,354.97","788.93M","0.70%"
"05/10/2014","8,788.81","9,341.05","9,343.65","8,788.21","587.39M","-4.42%"
"28/09/2014","9,195.68","9,495.58","9,520.97","9,195.68","373.19M","-3.11%"
"21/09/2014","9,490.55","9,748.53","9,812.77","9,454.88","429.22M","-3.15%"
"14/09/2014","9,799.26","9,603.97","9,891.20","9,588.65","461.82M","1.53%"
"07/09/2014","9,651.13","9,767.90","9,773.70","9,617.70","287.30M","-0.98%"
"31/08/2014","9,747.02","9,484.53","9,774.65","9,424.78","372.35M","2.92%"
"24/08/2014","9,470.17","9,456.67","9,600.85","9,369.40","329.92M","1.40%"
"17/08/2014","9,339.17","9,220.99","9,414.39","9,195.11","322.76M","2.71%"
"10/08/2014","9,092.60","9,106.67","9,324.57","9,050.00","428.91M","0.92%"
"03/08/2014","9,009.32","9,222.05","9,243.23","8,903.49","465.23M","-2.18%"
"27/07/2014","9,210.08","9,660.71","9,704.01","9,185.41","490.65M","-4.50%"
"20/07/2014","9,644.01","9,711.68","9,810.47","9,597.62","336.11M","-0.78%"
"13/07/2014","9,720.02","9,710.92","9,871.58","9,655.51","392.50M","0.56%"
"06/07/2014","9,666.34","9,992.13","10,015.36","9,617.59","379.12M","-3.42%"
"29/06/2014","10,009.08","9,833.85","10,032.28","9,800.08","321.73M","1.98%"
"22/06/2014","9,815.17","9,991.40","9,993.02","9,749.75","370.48M","-1.72%"
"15/06/2014","9,987.24","9,885.97","10,050.98","9,861.29","505.34M","0.75%"
"08/06/2014","9,912.87","9,994.40","10,033.74","9,829.09","352.24M","-0.74%"
"01/06/2014","9,987.19","9,986.86","10,013.69","9,866.97","419.27M","0.44%"
"25/05/2014","9,943.27","9,826.91","9,970.77","9,821.68","375.82M","1.79%"
"18/05/2014","9,768.01","9,607.32","9,779.59","9,534.56","380.66M","1.44%"
"11/05/2014","9,629.10","9,608.93","9,810.29","9,577.90","507.41M","0.50%"
"04/05/2014","9,581.45","9,536.38","9,622.30","9,407.09","418.81M","0.27%"
"27/04/2014","9,556.02","9,454.84","9,627.38","9,407.65","337.36M","1.64%"
"20/04/2014","9,401.55","9,455.52","9,645.06","9,367.42","298.46M","-0.09%"
"13/04/2014","9,409.71","9,248.86","9,417.82","9,166.53","344.17M","1.01%"
"06/04/2014","9,315.29","9,585.52","9,608.20","9,259.43","413.27M","-3.92%"
"30/03/2014","9,695.77","9,621.92","9,721.50","9,543.09","367.28M","1.13%"
"23/03/2014","9,587.19","9,349.52","9,587.19","9,181.37","382.19M","2.61%"
"16/03/2014","9,342.94","9,047.49","9,376.94","9,047.49","571.27M","3.16%"
"09/03/2014","9,056.41","9,305.51","9,382.98","8,913.27","519.56M","-3.15%"
"02/03/2014","9,350.75","9,553.08","9,599.00","9,346.82","493.94M","-3.52%"
"23/02/2014","9,692.08","9,619.64","9,720.66","9,497.78","415.53M","0.36%"
"16/02/2014","9,656.95","9,661.80","9,695.86","9,504.18","344.83M","-0.06%"
"09/02/2014","9,662.40","9,331.71","9,677.53","9,280.18","405.85M","3.88%"
"02/02/2014","9,301.92","9,318.77","9,357.58","9,071.25","527.44M","-0.05%"
"26/01/2014","9,306.48","9,389.17","9,537.63","9,166.05","562.87M","-0.91%"
"19/01/2014","9,392.02","9,713.20","9,794.05","9,374.08","467.78M","-3.60%"
"12/01/2014","9,742.96","9,497.92","9,789.89","9,381.94","529.57M","2.85%"
"05/01/2014","9,473.24","9,419.44","9,549.50","9,399.81","418.79M","0.40%"
"29/12/2013","9,435.15","9,586.53","9,620.93","9,367.99","185.71M","-1.61%"
"22/12/2013","9,589.39","9,436.49","9,589.39","9,427.54","99.76M","2.01%"
"15/12/2013","9,400.18","9,004.62","9,413.09","8,997.75","513.62M","4.37%"
"08/12/2013","9,006.46","9,218.81","9,225.53","8,984.28","344.80M","-1.81%"
"01/12/2013","9,172.41","9,412.95","9,424.83","9,069.82","445.60M","-2.48%"
"24/11/2013","9,405.30","9,258.22","9,424.62","9,252.73","334.27M","2.02%"
"17/11/2013","9,219.04","9,154.23","9,253.68","9,117.09","385.41M","0.55%"
"10/11/2013","9,168.69","9,081.58","9,188.47","8,981.09","461.58M","1.00%"
"03/11/2013","9,078.28","9,035.91","9,193.98","8,962.42","446.96M","0.78%"
"27/10/2013","9,007.83","9,013.05","9,070.17","8,950.21","344.86M","0.25%"
"20/10/2013","8,985.74","8,828.47","9,010.65","8,827.23","403.18M","1.36%"
"13/10/2013","8,865.10","8,688.45","8,865.10","8,675.95","511.95M","1.61%"
"06/10/2013","8,724.83","8,557.04","8,729.33","8,489.62","440.71M","1.18%"
"29/09/2013","8,622.97","8,562.85","8,691.85","8,546.72","373.96M","-0.44%"
"22/09/2013","8,661.51","8,682.94","8,699.47","8,605.59","433.49M","-0.16%"
"15/09/2013","8,675.73","8,599.65","8,770.10","8,578.01","615.43M","1.95%"
"08/09/2013","8,509.42","8,275.01","8,518.18","8,246.77","486.43M","2.82%"
"01/09/2013","8,275.67","8,224.34","8,295.81","8,095.91","461.24M","2.13%"
"25/08/2013","8,103.15","8,424.07","8,437.75","8,094.22","403.43M","-3.73%"
"18/08/2013","8,416.99","8,395.02","8,438.44","8,246.19","358.59M","0.30%"
"11/08/2013","8,391.94","8,341.96","8,457.05","8,238.86","416.21M","0.64%"
"04/08/2013","8,338.31","8,416.11","8,435.49","8,228.11","498.60M","-0.82%"
"28/07/2013","8,406.94","8,307.12","8,431.67","8,213.36","487.44M","1.97%"
"21/07/2013","8,244.91","8,343.28","8,415.33","8,217.26","413.78M","-1.04%"
"14/07/2013","8,331.57","8,237.92","8,337.20","8,137.53","407.47M","1.45%"
"07/07/2013","8,212.77","7,865.92","8,244.13","7,848.14","407.50M","5.21%"
"30/06/2013","7,806.00","8,000.02","8,031.71","7,730.37","545.08M","-1.93%"
"23/06/2013","7,959.22","7,776.88","8,037.68","7,655.83","564.13M","2.18%"
"16/06/2013","7,789.24","8,170.75","8,285.90","7,789.24","602.75M","-4.17%"
"09/06/2013","8,127.96","8,246.04","8,355.79","7,968.13","424.57M","-1.54%"
"02/06/2013","8,254.68","8,291.49","8,395.56","8,034.55","458.16M","-1.13%"
"26/05/2013","8,348.84","8,346.60","8,526.42","8,293.96","479.21M","0.52%"
"19/05/2013","8,305.32","8,434.97","8,557.86","8,262.64","566.37M","-1.10%"
"12/05/2013","8,398.00","8,281.95","8,408.62","8,217.15","637.22M","1.44%"
"05/05/2013","8,278.59","8,119.22","8,358.23","8,103.27","430.43M","1.92%"
"28/04/2013","8,122.29","7,834.02","8,130.16","7,823.24","476.39M","3.94%"
"21/04/2013","7,814.76","7,516.06","7,840.47","7,437.52","643.09M","4.76%"
"14/04/2013","7,459.96","7,740.54","7,773.11","7,418.36","737.51M","-3.68%"
"07/04/2013","7,744.77","7,669.04","7,885.45","7,608.04","613.00M","1.12%"
"31/03/2013","7,658.75","7,806.12","7,953.15","7,632.42","510.21M","-1.75%"
"24/03/2013","7,795.31","7,988.27","8,030.76","7,750.38","547.76M","-1.47%"
"17/03/2013","7,911.35","7,924.04","8,030.46","7,876.36","699.20M","-1.63%"
"10/03/2013","8,042.85","7,967.46","8,074.47","7,933.94","1.22B","0.71%"
"03/03/2013","7,986.47","7,654.67","8,015.07","7,637.32","579.35M","3.61%"
"24/02/2013","7,708.16","7,731.80","7,860.57","7,565.78","729.22M","0.60%"
"17/02/2013","7,661.91","7,591.08","7,784.64","7,561.84","663.39M","0.90%"
"10/02/2013","7,593.51","7,627.72","7,737.41","7,588.57","619.16M","-0.77%"
"03/02/2013","7,652.14","7,822.54","7,837.64","7,537.29","798.22M","-2.31%"
"27/01/2013","7,833.39","7,859.83","7,871.79","7,765.20","632.36M","-0.31%"
"20/01/2013","7,857.97","7,727.77","7,865.16","7,634.26","588.99M","2.02%"
"13/01/2013","7,702.23","7,737.61","7,785.82","7,635.88","532.74M","-0.17%"
"06/01/2013","7,715.53","7,760.01","7,773.69","7,683.48","791.54M","-0.78%"
"30/12/2012","7,776.37","7,689.46","7,789.94","7,689.46","328.10M","2.15%"
"23/12/2012","7,612.39","7,652.27","7,676.50","7,602.89","112.69M","-0.31%"
"16/12/2012","7,636.23","7,604.16","7,682.90","7,564.07","655.97M","0.52%"
"09/12/2012","7,596.47","7,484.95","7,626.40","7,457.40","544.03M","1.05%"
"02/12/2012","7,517.80","7,427.41","7,554.51","7,417.30","591.47M","1.52%"
"25/11/2012","7,405.50","7,286.69","7,442.60","7,265.44","525.15M","1.32%"
"18/11/2012","7,309.13","7,020.23","7,311.55","7,007.21","576.25M","5.16%"
"11/11/2012","6,950.53","7,164.68","7,196.00","6,950.53","779.34M","-2.97%"
