"Date","Price","Open","High","Low","Vol.","Change %"
"20/11/2011","2,856.97","2,981.79","2,981.79","2,793.22","783.98M","-4.67%"
"13/11/2011","2,997.01","3,169.43","3,174.32","2,979.60","669.84M","-4.84%"
"06/11/2011","3,149.38","3,087.98","3,193.62","3,008.73","919.26M","0.83%"
"30/10/2011","3,123.55","3,302.78","3,310.30","3,029.44","1.07B","-6.72%"
"23/10/2011","3,348.63","3,190.71","3,411.22","3,146.11","883.05M","5.59%"
"16/10/2011","3,171.34","3,241.97","3,266.57","3,082.12","843.49M","-1.45%"
"09/10/2011","3,217.89","3,121.41","3,251.62","3,094.17","845.45M","3.95%"
"02/10/2011","3,095.56","2,913.07","3,126.00","2,808.22","951.87M","3.81%"
"25/09/2011","2,981.96","2,754.82","3,060.43","2,753.27","914.74M","6.12%"
"18/09/2011","2,810.11","2,960.93","2,991.21","2,693.21","990.13M","-7.29%"
"11/09/2011","3,031.08","2,880.46","3,086.64","2,769.97","1.34B","1.90%"
"04/09/2011","2,974.59","3,072.51","3,116.21","2,942.78","954.13M","-5.52%"
"28/08/2011","3,148.53","3,141.19","3,295.54","3,117.94","730.88M","1.97%"
"21/08/2011","3,087.64","2,989.60","3,189.42","2,989.60","735.54M","2.34%"
"14/08/2011","3,016.99","3,248.14","3,288.82","2,947.91","872.26M","-6.13%"
"07/08/2011","3,213.88","3,254.36","3,333.61","2,891.11","1.80B","-1.97%"
"31/07/2011","3,278.56","3,718.11","3,722.59","3,218.39","1.31B","-10.70%"
"24/07/2011","3,671.28","3,813.50","3,845.06","3,661.32","882.72M","-4.46%"
"17/07/2011","3,842.70","3,697.54","3,866.34","3,645.79","830.12M","3.12%"
"10/07/2011","3,726.59","3,878.60","3,890.07","3,706.82","896.94M","-4.78%"
"03/07/2011","3,913.55","4,010.37","4,020.33","3,912.77","817.81M","-2.34%"
"26/06/2011","4,007.35","3,775.75","4,023.59","3,769.61","659.97M","5.88%"
"19/06/2011","3,784.80","3,758.98","3,885.23","3,755.29","659.50M","-1.02%"
"12/06/2011","3,823.74","3,807.46","3,877.81","3,742.31","748.22M","0.49%"
"05/06/2011","3,805.09","3,875.63","3,889.97","3,798.88","602.76M","-2.20%"
"29/05/2011","3,890.68","3,947.16","4,015.85","3,845.39","583.89M","-1.53%"
"22/05/2011","3,950.98","3,934.36","3,979.07","3,884.55","633.01M","-1.00%"
"15/05/2011","3,990.85","3,975.38","4,050.57","3,941.58","677.15M","-0.70%"
"08/05/2011","4,018.85","4,037.91","4,076.66","3,986.93","686.17M","-0.97%"
"01/05/2011","4,058.01","4,137.75","4,137.97","3,981.19","728.32M","-1.19%"
"24/04/2011","4,106.92","4,014.29","4,110.41","4,009.82","474.78M","2.11%"
"17/04/2011","4,021.88","3,970.62","4,034.50","3,862.40","562.67M","1.19%"
"10/04/2011","3,974.48","4,056.94","4,057.53","3,949.01","628.52M","-2.15%"
"03/04/2011","4,061.91","4,051.44","4,070.89","4,013.67","577.38M","0.18%"
"27/03/2011","4,054.76","3,966.77","4,055.88","3,949.20","637.74M","2.07%"
"20/03/2011","3,972.38","3,870.72","3,986.56","3,855.25","439.15M","4.26%"
"13/03/2011","3,810.22","3,914.03","3,939.50","3,693.94","801.60M","-3.02%"
"06/03/2011","3,928.68","4,007.34","4,049.98","3,915.21","506.37M","-2.28%"
"27/02/2011","4,020.21","4,064.55","4,145.73","4,009.89","675.26M","-1.23%"
"20/02/2011","4,070.38","4,153.10","4,163.99","3,984.36","782.21M","-2.09%"
"13/02/2011","4,157.14","4,128.70","4,169.87","4,085.50","851.21M","1.36%"
"06/02/2011","4,101.31","4,055.50","4,121.38","4,039.24","934.21M","1.34%"
"30/01/2011","4,047.21","3,997.14","4,089.64","3,953.18","689.26M","1.12%"
"23/01/2011","4,002.32","4,028.33","4,079.30","4,002.32","736.84M","-0.38%"
"16/01/2011","4,017.45","3,984.09","4,057.97","3,950.30","731.25M","0.86%"
"09/01/2011","3,983.28","3,850.27","3,992.10","3,790.96","758.35M","3.04%"
"02/01/2011","3,865.58","3,847.63","3,945.72","3,836.71","535.20M","1.60%"
"26/12/2010","3,804.78","3,893.11","3,904.04","3,804.78","197.30M","-2.45%"
"19/12/2010","3,900.39","3,873.24","3,936.06","3,869.20","351.33M","0.85%"
"12/12/2010","3,867.35","3,872.83","3,906.09","3,861.10","576.03M","0.26%"
"05/12/2010","3,857.35","3,758.58","3,873.64","3,723.16","630.94M","2.85%"
"28/11/2010","3,750.55","3,748.10","3,775.75","3,591.78","892.91M","0.59%"
"21/11/2010","3,728.65","3,892.65","3,896.07","3,687.43","691.76M","-3.41%"
"14/11/2010","3,860.16","3,810.24","3,875.63","3,753.06","651.08M","0.76%"
"07/11/2010","3,831.12","3,915.34","3,961.70","3,769.59","770.26M","-2.19%"
"31/10/2010","3,916.73","3,865.04","3,937.64","3,812.37","702.67M","2.17%"
"24/10/2010","3,833.50","3,894.91","3,894.91","3,807.80","555.93M","-0.91%"
"17/10/2010","3,868.54","3,803.46","3,889.74","3,786.36","580.20M","1.08%"
"10/10/2010","3,827.37","3,770.03","3,845.36","3,700.26","651.91M","1.71%"
"03/10/2010","3,763.18","3,689.18","3,799.71","3,638.34","641.72M","1.93%"
"26/09/2010","3,692.09","3,796.53","3,800.87","3,672.90","707.36M","-2.39%"
"19/09/2010","3,782.48","3,738.00","3,824.98","3,666.23","754.52M","1.62%"
"12/09/2010","3,722.02","3,765.24","3,795.48","3,705.29","752.81M","-0.10%"
"05/09/2010","3,725.82","3,695.47","3,731.86","3,613.29","540.92M","1.46%"
"29/08/2010","3,672.20","3,518.69","3,706.48","3,430.91","625.45M","4.70%"
"22/08/2010","3,507.44","3,536.95","3,583.45","3,414.84","595.63M","-0.53%"
"15/08/2010","3,526.12","3,622.60","3,680.03","3,517.49","514.01M","-2.35%"
"08/08/2010","3,610.91","3,764.25","3,781.63","3,577.54","580.02M","-2.83%"
"01/08/2010","3,716.05","3,675.88","3,802.94","3,671.93","617.60M","2.00%"
"25/07/2010","3,643.14","3,634.76","3,720.63","3,589.93","829.65M","1.00%"
"18/07/2010","3,607.05","3,476.07","3,628.20","3,419.77","638.18M","3.05%"
"11/07/2010","3,500.16","3,562.70","3,656.76","3,487.21","589.65M","-1.53%"
"04/07/2010","3,554.48","3,362.72","3,570.89","3,331.59","623.74M","6.16%"
"27/06/2010","3,348.37","3,537.67","3,577.59","3,321.35","806.08M","-4.87%"
"20/06/2010","3,519.73","3,750.70","3,759.54","3,504.31","697.22M","-4.54%"
"13/06/2010","3,687.21","3,583.47","3,716.19","3,581.97","819.40M","3.70%"
"06/06/2010","3,555.52","3,397.17","3,570.39","3,343.59","870.78M","2.89%"
"30/05/2010","3,455.61","3,506.30","3,598.38","3,414.50","782.18M","-1.69%"
"23/05/2010","3,515.06","3,460.49","3,553.17","3,287.57","940.72M","2.46%"
"16/05/2010","3,430.74","3,526.87","3,640.06","3,341.76","1.12B","-3.64%"
"09/05/2010","3,560.36","3,605.84","3,774.10","3,461.96","1.21B","4.95%"
"02/05/2010","3,392.59","3,796.79","3,847.21","3,349.96","1.39B","-11.12%"
"25/04/2010","3,816.99","3,995.26","4,017.53","3,749.53","937.96M","-3.40%"
"18/04/2010","3,951.30","3,964.53","4,037.39","3,907.19","725.40M","-0.89%"
"11/04/2010","3,986.63","4,078.38","4,086.00","3,976.42","682.10M","-1.58%"
"04/04/2010","4,050.54","4,048.90","4,065.07","3,952.14","458.09M","0.40%"
"28/03/2010","4,034.23","4,002.13","4,041.58","3,943.03","468.28M","1.14%"
"21/03/2010","3,988.93","3,908.55","4,008.70","3,868.02","605.59M","1.62%"
"14/03/2010","3,925.44","3,921.00","3,967.51","3,889.13","638.11M","-0.05%"
"07/03/2010","3,927.40","3,924.22","3,956.42","3,876.09","587.64M","0.43%"
